,PY,ToIHT
846,7753.0,165.0
847,7564.0,176.0
848,7436.0,154.0
849,7428.0,167.0
850,7603.0,177.0
851,7617.0,156.0
852,7440.0,184.0
853,7137.0,180.0
854,6863.0,168.0
855,6763.0,161.0
856,6745.0,147.0
857,6753.0,144.0
858,6719.0,144.0
859,6696.0,145.0
860,6342.0,151.0
861,6064.0,160.0
862,5886.0,156.0
863,5867.0,125.0
864,5879.0,135.0
865,5890.0,122.0
866,5726.0,130.0
867,5555.0,128.0
868,5318.0,133.0
869,5149.0,127.0
870,5169.0,113.0
871,5192.0,116.0
872,5182.0,111.0
873,5060.0,85.0
874,4831.0,118.0
875,4698.0,112.0
876,4607.0,105.0
877,4531.0,107.0
878,4438.0,92.0
879,4475.0,95.0
880,4417.0,98.0
881,4247.0,93.0
882,4101.0,100.0
883,3869.0,85.0
884,3722.0,103.0
885,3767.0,62.0
886,3781.0,82.0
887,3632.0,99.0
888,3514.0,85.0
889,3400.0,69.0
890,3330.0,63.0
891,3394.0,78.0
892,3354.0,77.0
893,3377.0,81.0
894,3267.0,84.0
895,3117.0,77.0
896,0.0,0.0
897,2.0,0.0
898,1.0,0.0
899,1.0,1.0
900,0.0,0.0
901,2.0,0.0
902,5.0,1.0
903,9.0,0.0
904,10.0,1.0
905,10.0,0.0
906,22.0,1.0
907,27.0,0.0
908,25.0,0.0
909,35.0,2.0
910,51.0,0.0
911,69.0,1.0
912,95.0,5.0
913,115.0,4.0
914,182.0,3.0
915,244.0,7.0
916,309.0,16.0
917,412.0,13.0
918,558.0,17.0
919,818.0,28.0
920,1102.0,29.0
921,1604.0,38.0
922,2068.0,53.0
923,2532.0,63.0
924,3010.0,98.0
925,3617.0,113.0
926,4352.0,98.0
927,5327.0,119.0
928,6057.0,122.0
929,6261.0,140.0
930,6465.0,144.0
931,6838.0,162.0
932,7423.0,186.0
933,8192.0,204.0
934,9072.0,221.0
935,10121.0,203.0
936,10792.0,240.0
937,11345.0,267.0
938,12071.0,246.0
939,13475.0,264.0
940,14262.0,257.0
941,14208.0,259.0
942,13737.0,275.0
943,13133.0,256.0
944,12151.0,244.0
945,11364.0,269.0
946,11114.0,262.0
947,10930.0,235.0
948,10634.0,252.0
949,10355.0,212.0
950,9729.0,227.0
951,9153.0,207.0
952,8803.0,210.0
953,8600.0,187.0
954,8570.0,201.0
955,8457.0,185.0
956,8328.0,203.0
957,8172.0,190.0
958,7590.0,170.0
959,7378.0,163.0
960,7297.0,167.0
961,7167.0,185.0
962,7039.0,173.0
963,6827.0,156.0
964,6641.0,132.0
965,6376.0,151.0
966,5990.0,135.0
967,5841.0,145.0
968,5670.0,133.0
969,5612.0,118.0
970,5455.0,145.0
971,5148.0,103.0
972,4879.0,129.0
973,4576.0,124.0
974,4473.0,109.0
975,4471.0,109.0
976,4371.0,95.0
977,4134.0,103.0
978,3928.0,96.0
979,3713.0,92.0
980,3549.0,71.0
981,3419.0,94.0
982,3311.0,87.0
983,3127.0,97.0
984,3144.0,85.0
985,3022.0,65.0
986,2833.0,53.0
987,2720.0,57.0
988,2652.0,66.0
989,2588.0,54.0
990,2584.0,44.0
991,2493.0,60.0
992,2405.0,40.0
993,2276.0,61.0
994,2107.0,55.0
995,1954.0,37.0
996,1887.0,57.0
997,1825.0,35.0
998,1790.0,43.0
999,1716.0,34.0
1000,1637.0,36.0
1001,1519.0,29.0
1002,1443.0,43.0
1003,1434.0,40.0
1004,1380.0,26.0
1005,1396.0,35.0
1006,1367.0,24.0
1007,1276.0,24.0
1008,1.0,0.0
1009,0.0,0.0
1010,3.0,0.0
1011,2.0,0.0
1012,2.0,0.0
1013,3.0,0.0
1014,5.0,0.0
1015,5.0,0.0
1016,8.0,0.0
1017,8.0,0.0
1018,14.0,0.0
1019,18.0,0.0
1020,33.0,1.0
1021,30.0,0.0
1022,40.0,3.0
1023,59.0,1.0
1024,75.0,1.0
1025,95.0,3.0
1026,146.0,3.0
1027,204.0,5.0
1028,253.0,3.0
1029,339.0,9.0
1030,444.0,20.0
1031,629.0,20.0
1032,879.0,12.0
1033,1173.0,40.0
1034,1581.0,33.0
1035,1937.0,61.0
1036,2293.0,68.0
1037,2650.0,95.0
1038,3209.0,67.0
1039,3873.0,80.0
1040,4460.0,104.0
1041,4769.0,120.0
1042,4884.0,110.0
1043,5238.0,108.0
1044,5679.0,143.0
1045,6333.0,147.0
1046,7040.0,165.0
1047,7900.0,172.0
1048,8652.0,193.0
1049,9018.0,205.0
1050,9603.0,188.0
1051,10649.0,226.0
1052,11183.0,251.0
1053,11371.0,215.0
1054,11400.0,214.0
1055,11144.0,236.0
1056,10718.0,226.0
1057,10345.0,229.0
1058,9993.0,216.0
1059,9780.0,193.0
1060,9856.0,235.0
1061,9756.0,223.0
1062,9385.0,208.0
1063,9048.0,190.0
1064,8691.0,207.0
1065,8579.0,190.0
1066,8484.0,223.0
1067,8545.0,192.0
1068,8515.0,206.0
1069,8442.0,194.0
1070,8162.0,168.0
1071,7930.0,172.0
1072,7863.0,156.0
1073,7783.0,158.0
1074,7723.0,188.0
1075,7743.0,164.0
1076,7588.0,169.0
1077,7320.0,181.0
1078,7163.0,142.0
1079,6894.0,170.0
1080,6920.0,164.0
1081,6806.0,149.0
1082,6736.0,191.0
1083,6530.0,162.0
1084,6170.0,147.0
1085,6019.0,147.0
1086,5768.0,132.0
1087,5735.0,134.0
1088,5590.0,124.0
1089,5533.0,141.0
1090,5413.0,141.0
1091,5153.0,120.0
1092,4897.0,111.0
1093,4727.0,142.0
1094,4730.0,123.0
1095,4745.0,101.0
1096,4682.0,102.0
1097,4628.0,126.0
1098,4437.0,94.0
1099,4247.0,102.0
1100,4142.0,93.0
1101,4026.0,94.0
1102,3941.0,99.0
1103,3953.0,78.0
1104,3959.0,80.0
1105,3711.0,104.0
1106,3446.0,85.0
1107,3294.0,76.0
1108,3240.0,81.0
1109,3225.0,79.0
1110,3191.0,63.0
1111,3074.0,68.0
1112,2943.0,75.0
1113,2785.0,67.0
1114,2739.0,56.0
1115,2705.0,62.0
1116,2690.0,67.0
1117,2711.0,49.0
1118,2531.0,54.0
1119,2440.0,53.0
1120,1.0,0.0
1121,0.0,0.0
1122,0.0,0.0
1123,3.0,0.0
1124,3.0,0.0
1125,5.0,0.0
1126,8.0,1.0
1127,4.0,0.0
1128,8.0,0.0
1129,13.0,0.0
1130,23.0,0.0
1131,18.0,1.0
1132,29.0,0.0
1133,30.0,0.0
1134,35.0,1.0
1135,39.0,1.0
1136,58.0,1.0
1137,91.0,2.0
1138,129.0,7.0
1139,175.0,7.0
1140,229.0,7.0
1141,294.0,14.0
1142,402.0,14.0
1143,551.0,17.0
1144,772.0,19.0
1145,1116.0,26.0
1146,1482.0,45.0
1147,1854.0,57.0
1148,2204.0,61.0
1149,2686.0,67.0
1150,3175.0,74.0
1151,3918.0,79.0
1152,4484.0,84.0
1153,4793.0,107.0
1154,4972.0,100.0
1155,5190.0,111.0
1156,5716.0,144.0
1157,6450.0,156.0
1158,7174.0,158.0
1159,7939.0,181.0
1160,8633.0,209.0
1161,9164.0,200.0
1162,9808.0,196.0
1163,10879.0,225.0
1164,11722.0,215.0
1165,11675.0,221.0
1166,11453.0,214.0
1167,11143.0,223.0
1168,10780.0,231.0
1169,10328.0,201.0
1170,10027.0,226.0
1171,9858.0,212.0
1172,9805.0,221.0
1173,9744.0,207.0
1174,9373.0,216.0
1175,8928.0,188.0
1176,8533.0,196.0
1177,8343.0,202.0
1178,8286.0,163.0
1179,8220.0,187.0
1180,8388.0,176.0
1181,8257.0,182.0
1182,7949.0,195.0
1183,7751.0,174.0
1184,7474.0,159.0
1185,7538.0,162.0
1186,7431.0,156.0
1187,7418.0,157.0
1188,7185.0,154.0
1189,6908.0,166.0
1190,6523.0,149.0
1191,6421.0,174.0
1192,6253.0,131.0
1193,6270.0,152.0
1194,6120.0,158.0
1195,5972.0,129.0
1196,5761.0,111.0
1197,5438.0,103.0
1198,5281.0,125.0
1199,5305.0,112.0
1200,5090.0,124.0
1201,5120.0,120.0
1202,4928.0,153.0
1203,4698.0,84.0
1204,4584.0,103.0
1205,4478.0,88.0
1206,4376.0,113.0
1207,4328.0,101.0
1208,4210.0,105.0
1209,4114.0,103.0
1210,3940.0,76.0
1211,3826.0,78.0
1212,3732.0,96.0
1213,3703.0,91.0
1214,3671.0,83.0
1215,3582.0,80.0
1216,3471.0,76.0
1217,3259.0,70.0
1218,3073.0,52.0
1219,2924.0,77.0
1220,2791.0,63.0
1221,2645.0,62.0
1222,2704.0,72.0
1223,2618.0,68.0
1224,2486.0,61.0
1225,2434.0,79.0
1226,2386.0,70.0
1227,2394.0,54.0
1228,2349.0,46.0
1229,2334.0,47.0
1230,2265.0,45.0
1231,2154.0,59.0
1232,1.0,0.0
1233,1.0,0.0
1234,1.0,0.0
1235,2.0,0.0
1236,4.0,0.0
1237,4.0,0.0
1238,6.0,0.0
1239,5.0,1.0
1240,4.0,0.0
1241,10.0,0.0
1242,14.0,0.0
1243,25.0,1.0
1244,27.0,1.0
1245,29.0,1.0
1246,37.0,0.0
1247,59.0,1.0
1248,76.0,2.0
