,date,hospitalized,SMA7,SMA_ratio7,SMA8,SMA_ratio8,SMA9,SMA_ratio9,SMA10,SMA_ratio10,SMA11,SMA_ratio11,SMA12,SMA_ratio12,SMA13,SMA_ratio13,SMA14,SMA_ratio14,SMA15,SMA_ratio15,SMA16,SMA_ratio16,SMA17,SMA_ratio17,SMA18,SMA_ratio18,SMA19,SMA_ratio19
51,2020-08-03,57.0,385.0,0.47275702001369746,439.0,0.5390657968467875,494.0,0.6066025139916014,551.0,0.6765951117598631,605.0,0.7429038885929532,661.0,0.8116685460494909,718.0,0.8816611438177526,774.0,0.9504258012742904,830.0,1.0191904587308283,885.0,1.0867271758756423,937.0,1.1505800720852843,990.0,1.2156609086066505,1042.0,1.2795138048162928
52,2020-08-04,58.0,391.0,0.4653081417893485,443.0,0.5271905545081365,497.0,0.5914530600238009,552.0,0.6569056119379038,609.0,0.7247382566488829,663.0,0.7890007621645474,719.0,0.8556433604770883,776.0,0.9234760051880675,832.0,0.9901186035006084,888.0,1.0567612018131494,943.0,1.122213753727252,995.0,1.18409616644604,1048.0,1.2471686255632664
53,2020-08-05,59.0,396.0,0.48644019705582087,450.0,0.5527729511997964,502.0,0.6166489366717729,556.0,0.6829816908157486,611.0,0.7505428292957236,668.0,0.8205607364476979,722.0,0.8868934905916734,778.0,0.955683013407648,835.0,1.0257009205596224,891.0,1.094490443375597,947.0,1.1632799661915716,1002.0,1.2308411046715468,1054.0,1.2947170901435232
54,2020-08-06,58.0,400.0,0.502189253010875,454.0,0.5699848021673432,508.0,0.6377803513238113,560.0,0.703064954215225,614.0,0.7708605033716931,669.0,0.8399115256606885,726.0,0.9114734942147381,780.0,0.9792690433712062,836.0,1.0495755387927288,893.0,1.1211375073467784,949.0,1.1914440027683009,1005.0,1.2617504981898235,1060.0,1.3308015204788188
55,2020-08-07,57.0,401.0,0.48539123919917093,457.0,0.5531765494115239,511.0,0.6185409556877215,565.0,0.6839053619639192,617.0,0.7468488643039612,671.0,0.8122132705801588,726.0,0.8787881288244341,783.0,0.9477838910048649,837.0,1.0131482972810624,893.0,1.0809336074934155,950.0,1.1499293696738462,1006.0,1.2177146798861993,1062.0,1.2854999900985524
56,2020-08-08,55.0,400.0,0.505567381693139,456.0,0.5763468151301784,512.0,0.6471262485672179,566.0,0.7153778450957916,620.0,0.7836294416243654,672.0,0.8493532012444734,726.0,0.9176047977730473,781.0,0.9871203127558539,838.0,1.059163664647126,892.0,1.1274152611757,948.0,1.1981946946127393,1005.0,1.2702380465040117,1061.0,1.341017479941051
57,2020-08-09,58.0,402.0,0.5148681601775353,458.0,0.5865910879634607,514.0,0.6583140157493861,570.0,0.7300369435353113,624.0,0.799198338186025,678.0,0.8683597328367387,730.0,0.9349595943522409,784.0,1.0041209890029545,839.0,1.074563150221274,896.0,1.1475668445748053,950.0,1.216728239225519,1006.0,1.2884511670114442,1063.0,1.3614548613649753
58,2020-08-10,56.0,401.0,0.5211864369593472,458.0,0.5952702945819975,514.0,0.6680544354042505,570.0,0.7408385762265035,626.0,0.8136227170487564,680.0,0.8838074242702146,734.0,0.953992131491673,786.0,1.0215774051123363,840.0,1.0917621123337946,895.0,1.1632465363556501,952.0,1.2373303939783005,1006.0,1.3075151011997588,1062.0,1.3802992420220117
59,2020-08-11,54.0,397.0,0.49328793610760824,455.0,0.5653551912568306,512.0,0.6361799075241699,568.0,0.7057620849096259,624.0,0.775344262295082,680.0,0.844926439680538,734.0,0.9120235393022278,788.0,0.9791206389239177,840.0,1.0437326607818411,894.0,1.1108297604035309,949.0,1.179169398907104,1006.0,1.2499941151744431,1060.0,1.317091214796133
60,2020-08-12,53.0,391.0,0.45712124338078536,450.0,0.5260986177016711,508.0,0.5939068839832199,565.0,0.6605460422254316,621.0,0.7260160924283061,677.0,0.7914861426311808,733.0,0.8569561928340554,787.0,0.920088026958256,841.0,0.9832198610824565,893.0,1.044013479127983,947.0,1.1071453132521833,1002.0,1.171446255415721,1059.0,1.2380854136579327
